Backend_Time,ESP_Time,experimentName,comment,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-07 08:55:15,06:55:15,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:15,06:55:15,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.05,4.38,0.0,-1.0
2024-06-07 08:55:15,06:55:15,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.63,4.38,0.0,0.0
2024-06-07 08:55:15,06:55:15,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:55:16,06:55:15,None,,,0,0,0,0,0,0,0,23.74,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:16,06:55:16,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.99,4.38,0.0,-1.0
2024-06-07 08:55:16,06:55:16,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.66,4.38,0.0,-1.0
2024-06-07 08:55:16,06:55:16,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.05,4.38,0.0,0.0
2024-06-07 08:55:16,06:55:16,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:55:17,06:55:16,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.3,4.38,0.0,-1.0
2024-06-07 08:55:17,06:55:17,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.35,4.38,0.0,-1.0
2024-06-07 08:55:17,06:55:17,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.18,4.38,0.0,-1.0
2024-06-07 08:55:17,06:55:17,None,,,0,0,0,0,0,0,0,23.81,-1000.0,10.99,4.38,0.0,0.0
2024-06-07 08:55:18,06:55:17,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.71,4.38,0.0,-1.0
